packet_count,byte_count,avg_packet_size,tcp_count,udp_count,icmp_count,arp_count,unique_dst_ports,packets_per_second,in_out_ratio,fluctuation,syn_only_count,http_count,label
7,294,42.0,0,0,7,0,0,13.989773596323412,0.8571428571428571,0.17575340412015605,0,0,0
2,120,60.0,0,0,2,0,0,3.9630295230914303,1.0,0.0,0,0,0
3,126,42.0,0,0,3,0,0,5.990368117669687,0.6666666666666666,0.2647958365519999,0,0,0
5,210,42.0,0,0,5,0,0,9.99115772784096,0.8,0.2081101945707185,0,0,0
2,120,60.0,0,0,2,0,0,3.6675133805569424,1.0,0.0,0,0,0
5,210,42.0,0,0,5,0,0,9.958861533420553,0.8,0.1846061775544481,0,0,0
5,210,42.0,0,0,5,0,0,9.99928956310992,0.8,0.18353371554061132,0,0,0
2,120,60.0,0,0,2,0,0,3.9604082305179555,1.0,0.0,0,0,0
6,252,42.0,0,0,6,0,0,11.965373111052049,0.8333333333333334,0.1668813749038397,0,0,0
6,252,42.0,0,0,6,0,0,11.991285934560647,0.8333333333333334,0.16685912523487115,0,0,0
2,120,60.0,0,0,2,0,0,3.9896679465210174,1.0,0.0,0,0,0
4,168,42.0,0,0,4,0,0,7.987111860972628,0.75,0.1987384344522447,0,0,0
4,168,42.0,0,0,4,0,0,7.997380161203981,0.75,0.19828987455555366,0,0,0
2,120,60.0,0,0,2,0,0,3.8707463751297193,1.0,0.0,0,0,0
5,210,42.0,0,0,5,0,0,9.976551807470788,0.8,0.17492882524068543,0,0,0
5,210,42.0,0,0,5,0,0,9.986176552518863,0.8,0.17482646343603064,0,0,0
2,120,60.0,0,0,2,0,0,3.954007124992812,1.0,0.0,0,0,0
6,252,42.0,0,0,6,0,0,11.963461888601069,0.8333333333333334,0.15942365440940948,0,0,0
6,252,42.0,0,0,6,0,0,11.995595641782678,0.8333333333333334,0.15358228032633095,0,0,0
2,120,60.0,0,0,2,0,0,3.7452052079045424,1.0,0.0,0,0,0
7,294,42.0,0,0,7,0,0,10.31471259457454,0.7142857142857143,0.13314599544622785,0,0,0
